kernel,target,phase,weft,source,ratio,measurement
gemm_f32,V100,prefill,5.879030,,,native-jit-warm
gemv_f32,V100,decode,0.788321,,,native-jit-warm
mul_mat_f32,V100,decode,3.026552,2.861076,1.057837,native-jit-warm
mul_mat_f32,V100,prefill,5.887269,9.356282,0.629232,native-jit-warm
dequantize_row_iq1_m,V100,tensor,,1295.143871,,native-jit-dispatch-bound
dequantize_row_iq1_s,V100,tensor,,1301.412865,,native-jit-dispatch-bound
dequantize_row_iq2_s,V100,tensor,,432.480343,,native-jit-dispatch-bound
dequantize_row_iq2_xs,V100,tensor,,493.109778,,native-jit-dispatch-bound
dequantize_row_iq2_xxs,V100,tensor,,432.551727,,native-jit-dispatch-bound
dequantize_row_iq3_s,V100,tensor,,432.141719,,native-jit-dispatch-bound
dequantize_row_iq3_xxs,V100,tensor,,432.444693,,native-jit-dispatch-bound
dequantize_row_iq4_nl,V100,tensor,,916.483367,,native-jit-dispatch-bound
dequantize_row_iq4_xs,V100,tensor,,917.204762,,native-jit-dispatch-bound
dequantize_row_mxfp4,V100,tensor,,947.455068,,native-jit-dispatch-bound
dequantize_row_nvfp4,V100,tensor,,196.784893,,native-jit-dispatch-bound
dequantize_row_q1_0,V100,tensor,,2622.026678,,native-jit-dispatch-bound
dequantize_row_q2_K,V100,tensor,,1308.069524,,native-jit-dispatch-bound
dequantize_row_q3_K,V100,tensor,,1028.997521,,native-jit-dispatch-bound
dequantize_row_q4_0,V100,tensor,,913.369959,,native-jit-dispatch-bound
dequantize_row_q4_1,V100,tensor,,645.379856,,native-jit-dispatch-bound
dequantize_row_q4_K,V100,tensor,,1057.644242,,native-jit-dispatch-bound
dequantize_row_q5_0,V100,tensor,,1345.846164,,native-jit-dispatch-bound
dequantize_row_q5_1,V100,tensor,,1467.527876,,native-jit-dispatch-bound
dequantize_row_q5_K,V100,tensor,,1251.101868,,native-jit-dispatch-bound
dequantize_row_q6_K,V100,tensor,,556.702194,,native-jit-dispatch-bound
dequantize_row_q8_0,V100,tensor,,640.374144,,native-jit-dispatch-bound
dequantize_row_tq1_0,V100,tensor,,1032.951066,,native-jit-dispatch-bound
dequantize_row_tq2_0,V100,tensor,,1442.692060,,native-jit-dispatch-bound
q4_k_q8_k_gemv,V100,decode,6.215598,,,native-jit-warm
q4_k_q8_k_gemv_groups4,V100,decode,7.378025,,,native-jit-warm
mul_mat_f16,V100,decode,5.330025,5.797491,0.919368,native-jit-warm
mul_mat_f16,V100,prefill,23.180461,26.107401,0.887888,native-jit-warm
mul_mat_iq1_m,V100,decode,3.409500,4.025332,0.847011,native-jit-warm
mul_mat_iq1_m,V100,prefill,2.634046,4.048861,0.650565,native-jit-warm
mul_mat_iq1_s,V100,decode,5.659037,5.314152,1.064899,native-jit-warm
mul_mat_iq1_s,V100,prefill,7.524950,5.307060,1.417913,native-jit-warm
mul_mat_iq2_s,V100,decode,3.064700,2.952722,1.037924,native-jit-warm
